product_id,product_name,area,date,sales,temp,humidity,weather_main,weather_desc,wind_speed,name
P001,Soft Drink ,Bathinda,2025-01-01,164,23.53,51,Clear,clear sky,7.92,New Year's Day
P005,Gift Hamper,Patiala,2025-01-01,208,32.96,75,Rain,clear sky,8.2,New Year's Day
P005,Gift Hamper,Rajpura,2025-01-01,215,33.96,60,Clouds,clear sky,7.01,New Year's Day
P005,Gift Hamper,Mohali,2025-01-01,190,25.56,69,Clouds,light rain,8.36,New Year's Day
P005,Gift Hamper,Malout,2025-01-01,223,36.73,79,Rain,moderate rain,7.34,New Year's Day
P005,Gift Hamper,Bathinda,2025-01-01,164,23.53,51,Clear,clear sky,7.92,New Year's Day
P004,Pooja Articles,Patiala,2025-01-01,169,32.96,75,Rain,clear sky,8.2,New Year's Day
P004,Pooja Articles,Mohali,2025-01-01,142,25.56,69,Clouds,light rain,8.36,New Year's Day
P004,Pooja Articles,Malout,2025-01-01,167,36.73,79,Rain,moderate rain,7.34,New Year's Day
P004,Pooja Articles,Bathinda,2025-01-01,152,23.53,51,Clear,clear sky,7.92,New Year's Day
P003,Moisturizer ,Patiala,2025-01-01,74,32.96,75,Rain,clear sky,8.2,New Year's Day
P003,Moisturizer ,Rajpura,2025-01-01,61,33.96,60,Clouds,clear sky,7.01,New Year's Day
P004,Pooja Articles,Rajpura,2025-01-01,130,33.96,60,Clouds,clear sky,7.01,New Year's Day
P003,Moisturizer ,Malout,2025-01-01,43,36.73,79,Rain,moderate rain,7.34,New Year's Day
P003,Moisturizer ,Mohali,2025-01-01,61,25.56,69,Clouds,light rain,8.36,New Year's Day
P001,Soft Drink ,Mohali,2025-01-01,181,25.56,69,Clouds,light rain,8.36,New Year's Day
P001,Soft Drink ,Rajpura,2025-01-01,202,33.96,60,Clouds,clear sky,7.01,New Year's Day
P001,Soft Drink ,Patiala,2025-01-01,185,32.96,75,Rain,clear sky,8.2,New Year's Day
P002,Sweets ,Bathinda,2025-01-01,89,23.53,51,Clear,clear sky,7.92,New Year's Day
P001,Soft Drink ,Malout,2025-01-01,161,36.73,79,Rain,moderate rain,7.34,New Year's Day
P002,Sweets ,Mohali,2025-01-01,107,25.56,69,Clouds,light rain,8.36,New Year's Day
P002,Sweets ,Rajpura,2025-01-01,80,33.96,60,Clouds,clear sky,7.01,New Year's Day
P002,Sweets ,Patiala,2025-01-01,151,32.96,75,Rain,clear sky,8.2,New Year's Day
P003,Moisturizer ,Bathinda,2025-01-01,73,23.53,51,Clear,clear sky,7.92,New Year's Day
P002,Sweets ,Malout,2025-01-01,119,36.73,79,Rain,moderate rain,7.34,New Year's Day
P003,Moisturizer ,Patiala,2025-01-02,9,23.34,64,Clear,light rain,8.24,Last day of Hanukkah
P004,Pooja Articles,Bathinda,2025-01-02,131,33.4,49,Rain,overcast clouds,9.07,Last day of Hanukkah
P004,Pooja Articles,Malout,2025-01-02,162,29.48,43,Clouds,light rain,9.58,Last day of Hanukkah
P004,Pooja Articles,Mohali,2025-01-02,161,35.96,41,Rain,light rain,8.94,Last day of Hanukkah
P004,Pooja Articles,Rajpura,2025-01-02,186,27.92,86,Rain,overcast clouds,8.5,Last day of Hanukkah
P005,Gift Hamper,Malout,2025-01-02,205,29.48,43,Clouds,light rain,9.58,Last day of Hanukkah
P005,Gift Hamper,Bathinda,2025-01-02,196,33.4,49,Rain,overcast clouds,9.07,Last day of Hanukkah
P005,Gift Hamper,Mohali,2025-01-02,254,35.96,41,Rain,light rain,8.94,Last day of Hanukkah
P005,Gift Hamper,Rajpura,2025-01-02,228,27.92,86,Rain,overcast clouds,8.5,Last day of Hanukkah
P005,Gift Hamper,Patiala,2025-01-02,207,23.34,64,Clear,light rain,8.24,Last day of Hanukkah
P004,Pooja Articles,Patiala,2025-01-02,119,23.34,64,Clear,light rain,8.24,Last day of Hanukkah
P003,Moisturizer ,Rajpura,2025-01-02,0,27.92,86,Rain,overcast clouds,8.5,Last day of Hanukkah
P002,Sweets ,Bathinda,2025-01-02,129,33.4,49,Rain,overcast clouds,9.07,Last day of Hanukkah
P003,Moisturizer ,Malout,2025-01-02,20,29.48,43,Clouds,light rain,9.58,Last day of Hanukkah
P003,Moisturizer ,Mohali,2025-01-02,125,35.96,41,Rain,light rain,8.94,Last day of Hanukkah
P001,Soft Drink ,Malout,2025-01-02,191,29.48,43,Clouds,light rain,9.58,Last day of Hanukkah
P001,Soft Drink ,Mohali,2025-01-02,180,35.96,41,Rain,light rain,8.94,Last day of Hanukkah
P001,Soft Drink ,Rajpura,2025-01-02,175,27.92,86,Rain,overcast clouds,8.5,Last day of Hanukkah
P001,Soft Drink ,Patiala,2025-01-02,168,23.34,64,Clear,light rain,8.24,Last day of Hanukkah
P001,Soft Drink ,Bathinda,2025-01-02,192,33.4,49,Rain,overcast clouds,9.07,Last day of Hanukkah
P002,Sweets ,Malout,2025-01-02,98,29.48,43,Clouds,light rain,9.58,Last day of Hanukkah
P002,Sweets ,Mohali,2025-01-02,137,35.96,41,Rain,light rain,8.94,Last day of Hanukkah
P002,Sweets ,Rajpura,2025-01-02,165,27.92,86,Rain,overcast clouds,8.5,Last day of Hanukkah
P002,Sweets ,Patiala,2025-01-02,135,23.34,64,Clear,light rain,8.24,Last day of Hanukkah
P003,Moisturizer ,Bathinda,2025-01-02,99,33.4,49,Rain,overcast clouds,9.07,Last day of Hanukkah
P004,Pooja Articles,Bathinda,2025-01-03,127,22.35,48,Clear,moderate rain,3.68,None
P004,Pooja Articles,Malout,2025-01-03,103,36.07,83,Clouds,clear sky,9.58,None
P004,Pooja Articles,Mohali,2025-01-03,183,35.99,62,Clouds,moderate rain,6.62,None
P004,Pooja Articles,Rajpura,2025-01-03,207,21.58,84,Clouds,overcast clouds,5.34,None
P004,Pooja Articles,Patiala,2025-01-03,136,28.4,72,Rain,moderate rain,9.36,None
P005,Gift Hamper,Malout,2025-01-03,219,36.07,83,Clouds,clear sky,9.58,None
P003,Moisturizer ,Patiala,2025-01-03,0,28.4,72,Rain,moderate rain,9.36,None
P005,Gift Hamper,Mohali,2025-01-03,214,35.99,62,Clouds,moderate rain,6.62,None
P005,Gift Hamper,Rajpura,2025-01-03,202,21.58,84,Clouds,overcast clouds,5.34,None
P005,Gift Hamper,Patiala,2025-01-03,226,28.4,72,Rain,moderate rain,9.36,None
P005,Gift Hamper,Bathinda,2025-01-03,223,22.35,48,Clear,moderate rain,3.68,None
P003,Moisturizer ,Rajpura,2025-01-03,51,21.58,84,Clouds,overcast clouds,5.34,None
P002,Sweets ,Bathinda,2025-01-03,108,22.35,48,Clear,moderate rain,3.68,None
P003,Moisturizer ,Malout,2025-01-03,77,36.07,83,Clouds,clear sky,9.58,None
P001,Soft Drink ,Malout,2025-01-03,200,36.07,83,Clouds,clear sky,9.58,None
P001,Soft Drink ,Mohali,2025-01-03,173,35.99,62,Clouds,moderate rain,6.62,None
P001,Soft Drink ,Rajpura,2025-01-03,118,21.58,84,Clouds,overcast clouds,5.34,None
P001,Soft Drink ,Patiala,2025-01-03,199,28.4,72,Rain,moderate rain,9.36,None
P001,Soft Drink ,Bathinda,2025-01-03,217,22.35,48,Clear,moderate rain,3.68,None
P003,Moisturizer ,Mohali,2025-01-03,71,35.99,62,Clouds,moderate rain,6.62,None
P002,Sweets ,Mohali,2025-01-03,128,35.99,62,Clouds,moderate rain,6.62,None
P002,Sweets ,Rajpura,2025-01-03,139,21.58,84,Clouds,overcast clouds,5.34,None
P002,Sweets ,Patiala,2025-01-03,170,28.4,72,Rain,moderate rain,9.36,None
P003,Moisturizer ,Bathinda,2025-01-03,32,22.35,48,Clear,moderate rain,3.68,None
P002,Sweets ,Malout,2025-01-03,124,36.07,83,Clouds,clear sky,9.58,None
P003,Moisturizer ,Patiala,2025-01-04,75,20.15,48,Clear,scattered clouds,2.7,None
P004,Pooja Articles,Bathinda,2025-01-04,151,26.22,55,Clear,overcast clouds,3.49,None
P004,Pooja Articles,Malout,2025-01-04,151,20.45,59,Rain,clear sky,3.12,None
P004,Pooja Articles,Mohali,2025-01-04,140,23.71,67,Clouds,overcast clouds,6.08,None
P004,Pooja Articles,Rajpura,2025-01-04,159,28.49,61,Clouds,clear sky,7.07,None
P005,Gift Hamper,Patiala,2025-01-04,231,20.15,48,Clear,scattered clouds,2.7,None
P005,Gift Hamper,Bathinda,2025-01-04,269,26.22,55,Clear,overcast clouds,3.49,None
P005,Gift Hamper,Mohali,2025-01-04,176,23.71,67,Clouds,overcast clouds,6.08,None
P005,Gift Hamper,Rajpura,2025-01-04,195,28.49,61,Clouds,clear sky,7.07,None
P003,Moisturizer ,Rajpura,2025-01-04,65,28.49,61,Clouds,clear sky,7.07,None
P004,Pooja Articles,Patiala,2025-01-04,150,20.15,48,Clear,scattered clouds,2.7,None
P005,Gift Hamper,Malout,2025-01-04,185,20.45,59,Rain,clear sky,3.12,None
P003,Moisturizer ,Mohali,2025-01-04,87,23.71,67,Clouds,overcast clouds,6.08,None
P003,Moisturizer ,Bathinda,2025-01-04,87,26.22,55,Clear,overcast clouds,3.49,None
P003,Moisturizer ,Malout,2025-01-04,45,20.45,59,Rain,clear sky,3.12,None
P001,Soft Drink ,Bathinda,2025-01-04,176,26.22,55,Clear,overcast clouds,3.49,None
P001,Soft Drink ,Malout,2025-01-04,192,20.45,59,Rain,clear sky,3.12,None
P001,Soft Drink ,Rajpura,2025-01-04,190,28.49,61,Clouds,clear sky,7.07,None
P001,Soft Drink ,Patiala,2025-01-04,208,20.15,48,Clear,scattered clouds,2.7,None
P001,Soft Drink ,Mohali,2025-01-04,150,23.71,67,Clouds,overcast clouds,6.08,None
P002,Sweets ,Malout,2025-01-04,143,20.45,59,Rain,clear sky,3.12,None
P002,Sweets ,Mohali,2025-01-04,85,23.71,67,Clouds,overcast clouds,6.08,None
P002,Sweets ,Rajpura,2025-01-04,121,28.49,61,Clouds,clear sky,7.07,None
P002,Sweets ,Patiala,2025-01-04,82,20.15,48,Clear,scattered clouds,2.7,None
P002,Sweets ,Bathinda,2025-01-04,102,26.22,55,Clear,overcast clouds,3.49,None
P004,Pooja Articles,Rajpura,2025-01-05,157,26.78,64,Rain,clear sky,1.43,None
P004,Pooja Articles,Bathinda,2025-01-05,149,36.06,55,Rain,moderate rain,3.45,None
P004,Pooja Articles,Malout,2025-01-05,144,31.23,64,Rain,scattered clouds,6.97,None
P004,Pooja Articles,Mohali,2025-01-05,104,39.79,84,Rain,light rain,5.12,None
P004,Pooja Articles,Patiala,2025-01-05,159,26.03,79,Clear,clear sky,8.62,None
P003,Moisturizer ,Patiala,2025-01-05,125,26.03,79,Clear,clear sky,8.62,None
P005,Gift Hamper,Malout,2025-01-05,190,31.23,64,Rain,scattered clouds,6.97,None
P005,Gift Hamper,Mohali,2025-01-05,172,39.79,84,Rain,light rain,5.12,None
P005,Gift Hamper,Rajpura,2025-01-05,204,26.78,64,Rain,clear sky,1.43,None
P005,Gift Hamper,Patiala,2025-01-05,169,26.03,79,Clear,clear sky,8.62,None
P005,Gift Hamper,Bathinda,2025-01-05,245,36.06,55,Rain,moderate rain,3.45,None
P003,Moisturizer ,Rajpura,2025-01-05,67,26.78,64,Rain,clear sky,1.43,None
P002,Sweets ,Bathinda,2025-01-05,160,36.06,55,Rain,moderate rain,3.45,None
P003,Moisturizer ,Malout,2025-01-05,64,31.23,64,Rain,scattered clouds,6.97,None
P001,Soft Drink ,Bathinda,2025-01-05,147,36.06,55,Rain,moderate rain,3.45,None
P001,Soft Drink ,Malout,2025-01-05,194,31.23,64,Rain,scattered clouds,6.97,None
P001,Soft Drink ,Mohali,2025-01-05,170,39.79,84,Rain,light rain,5.12,None
P001,Soft Drink ,Rajpura,2025-01-05,214,26.78,64,Rain,clear sky,1.43,None
P001,Soft Drink ,Patiala,2025-01-05,189,26.03,79,Clear,clear sky,8.62,None
P003,Moisturizer ,Mohali,2025-01-05,60,39.79,84,Rain,light rain,5.12,None
P002,Sweets ,Malout,2025-01-05,127,31.23,64,Rain,scattered clouds,6.97,None
P002,Sweets ,Mohali,2025-01-05,80,39.79,84,Rain,light rain,5.12,None
P002,Sweets ,Rajpura,2025-01-05,97,26.78,64,Rain,clear sky,1.43,None
P002,Sweets ,Patiala,2025-01-05,94,26.03,79,Clear,clear sky,8.62,None
P003,Moisturizer ,Bathinda,2025-01-05,34,36.06,55,Rain,moderate rain,3.45,None
P005,Gift Hamper,Patiala,2025-01-06,218,33.13,63,Rain,scattered clouds,8.61,Guru Govind Singh Jayanti
P005,Gift Hamper,Rajpura,2025-01-06,206,25.91,56,Clear,scattered clouds,9.97,Guru Govind Singh Jayanti
P005,Gift Hamper,Mohali,2025-01-06,234,32.35,62,Rain,moderate rain,7.4,Guru Govind Singh Jayanti
P005,Gift Hamper,Malout,2025-01-06,209,32.8,42,Clouds,moderate rain,4.61,Guru Govind Singh Jayanti
P005,Gift Hamper,Bathinda,2025-01-06,224,20.79,41,Clear,clear sky,5.11,Guru Govind Singh Jayanti
P004,Pooja Articles,Patiala,2025-01-06,178,33.13,63,Rain,scattered clouds,8.61,Guru Govind Singh Jayanti
P004,Pooja Articles,Rajpura,2025-01-06,155,25.91,56,Clear,scattered clouds,9.97,Guru Govind Singh Jayanti
P004,Pooja Articles,Mohali,2025-01-06,163,32.35,62,Rain,moderate rain,7.4,Guru Govind Singh Jayanti
P004,Pooja Articles,Malout,2025-01-06,204,32.8,42,Clouds,moderate rain,4.61,Guru Govind Singh Jayanti
P003,Moisturizer ,Patiala,2025-01-06,72,33.13,63,Rain,scattered clouds,8.61,Guru Govind Singh Jayanti
P003,Moisturizer ,Rajpura,2025-01-06,3,25.91,56,Clear,scattered clouds,9.97,Guru Govind Singh Jayanti
P004,Pooja Articles,Bathinda,2025-01-06,166,20.79,41,Clear,clear sky,5.11,Guru Govind Singh Jayanti
P001,Soft Drink ,Bathinda,2025-01-06,184,20.79,41,Clear,clear sky,5.11,Guru Govind Singh Jayanti
P003,Moisturizer ,Malout,2025-01-06,28,32.8,42,Clouds,moderate rain,4.61,Guru Govind Singh Jayanti
P001,Soft Drink ,Malout,2025-01-06,146,32.8,42,Clouds,moderate rain,4.61,Guru Govind Singh Jayanti
P001,Soft Drink ,Mohali,2025-01-06,193,32.35,62,Rain,moderate rain,7.4,Guru Govind Singh Jayanti
P001,Soft Drink ,Rajpura,2025-01-06,195,25.91,56,Clear,scattered clouds,9.97,Guru Govind Singh Jayanti
P001,Soft Drink ,Patiala,2025-01-06,157,33.13,63,Rain,scattered clouds,8.61,Guru Govind Singh Jayanti
P002,Sweets ,Bathinda,2025-01-06,105,20.79,41,Clear,clear sky,5.11,Guru Govind Singh Jayanti
P003,Moisturizer ,Mohali,2025-01-06,113,32.35,62,Rain,moderate rain,7.4,Guru Govind Singh Jayanti
P002,Sweets ,Mohali,2025-01-06,139,32.35,62,Rain,moderate rain,7.4,Guru Govind Singh Jayanti
P002,Sweets ,Rajpura,2025-01-06,134,25.91,56,Clear,scattered clouds,9.97,Guru Govind Singh Jayanti
P002,Sweets ,Patiala,2025-01-06,127,33.13,63,Rain,scattered clouds,8.61,Guru Govind Singh Jayanti
P003,Moisturizer ,Bathinda,2025-01-06,44,20.79,41,Clear,clear sky,5.11,Guru Govind Singh Jayanti
P002,Sweets ,Malout,2025-01-06,127,32.8,42,Clouds,moderate rain,4.61,Guru Govind Singh Jayanti
P003,Moisturizer ,Patiala,2025-01-07,90,35.79,57,Clouds,overcast clouds,9.26,None
P004,Pooja Articles,Bathinda,2025-01-07,174,21.67,55,Rain,scattered clouds,6.47,None
P004,Pooja Articles,Malout,2025-01-07,135,39.28,76,Clouds,scattered clouds,8.72,None
P004,Pooja Articles,Mohali,2025-01-07,120,33.66,74,Clear,scattered clouds,5.95,None
P004,Pooja Articles,Rajpura,2025-01-07,154,23.23,43,Clear,moderate rain,3.04,None
P005,Gift Hamper,Bathinda,2025-01-07,212,21.67,55,Rain,scattered clouds,6.47,None
P005,Gift Hamper,Malout,2025-01-07,227,39.28,76,Clouds,scattered clouds,8.72,None
P005,Gift Hamper,Mohali,2025-01-07,213,33.66,74,Clear,scattered clouds,5.95,None
P005,Gift Hamper,Rajpura,2025-01-07,242,23.23,43,Clear,moderate rain,3.04,None
P005,Gift Hamper,Patiala,2025-01-07,169,35.79,57,Clouds,overcast clouds,9.26,None
P004,Pooja Articles,Patiala,2025-01-07,171,35.79,57,Clouds,overcast clouds,9.26,None
